id,book_id,location_id,edition,book_format
294,392,363,1,HARDCOVER
295,200,523,2,PAPERBACK
296,481,489,1,HARDCOVER
297,211,491,2,HARDCOVER
298,70,449,1,PAPERBACK
299,26,400,1,PAPERBACK
300,167,504,1,PAPERBACK
301,16,420,1,PAPERBACK
302,487,374,2,PAPERBACK
303,320,572,1,HARDCOVER
304,475,398,1,PAPERBACK
305,336,371,1,PAPERBACK
306,416,515,2,PAPERBACK
307,219,363,1,HARDCOVER
308,363,460,1,HARDCOVER
309,475,488,2,HARDCOVER
310,489,334,1,PAPERBACK
311,366,555,1,HARDCOVER
312,223,422,1,HARDCOVER
313,221,519,1,HARDCOVER
314,357,566,3,HARDCOVER
315,331,557,2,PAPERBACK
316,90,471,2,PAPERBACK
317,483,457,1,HARDCOVER
318,248,445,1,HARDCOVER
319,499,437,1,HARDCOVER
320,474,504,1,PAPERBACK
321,467,559,2,HARDCOVER
322,323,464,1,PAPERBACK
323,181,463,2,PAPERBACK
324,265,530,1,PAPERBACK
325,475,344,1,HARDCOVER
326,34,487,1,HARDCOVER
327,294,555,1,PAPERBACK
328,59,400,2,PAPERBACK
329,353,423,1,PAPERBACK
330,296,431,1,PAPERBACK
331,229,457,2,HARDCOVER
332,309,411,1,HARDCOVER
333,438,492,2,HARDCOVER
334,3,420,1,HARDCOVER
335,46,353,1,HARDCOVER
336,139,520,1,HARDCOVER
337,466,509,1,PAPERBACK
338,229,374,2,PAPERBACK
339,121,445,2,HARDCOVER
340,436,508,1,HARDCOVER
341,191,513,2,HARDCOVER
342,297,507,2,PAPERBACK
343,160,442,1,HARDCOVER
344,423,424,1,PAPERBACK
345,499,357,1,HARDCOVER
346,287,538,1,PAPERBACK
347,56,442,1,PAPERBACK
348,487,551,2,HARDCOVER
349,18,547,2,PAPERBACK
350,238,401,2,HARDCOVER
351,169,345,3,HARDCOVER
352,314,416,1,HARDCOVER
353,419,395,1,PAPERBACK
354,293,431,1,PAPERBACK
355,150,478,2,PAPERBACK
356,287,396,1,HARDCOVER
357,500,430,2,PAPERBACK
358,256,335,2,PAPERBACK
359,60,541,1,HARDCOVER
360,269,434,1,HARDCOVER
361,21,393,1,PAPERBACK
362,333,366,1,HARDCOVER
363,17,426,1,PAPERBACK
364,296,372,2,HARDCOVER
365,75,545,1,PAPERBACK
366,472,545,1,HARDCOVER
367,12,512,1,HARDCOVER
368,480,389,1,PAPERBACK
369,486,482,1,HARDCOVER
370,110,555,1,HARDCOVER
371,399,405,1,PAPERBACK
372,36,547,1,HARDCOVER
373,96,458,3,HARDCOVER
374,299,324,1,PAPERBACK
375,114,0,1,HARDCOVER
376,243,390,2,PAPERBACK
377,319,503,3,PAPERBACK
378,240,425,1,HARDCOVER
379,469,353,1,PAPERBACK
380,93,479,2,PAPERBACK
381,164,480,2,PAPERBACK
382,102,565,2,HARDCOVER
383,16,422,2,HARDCOVER
384,5,536,1,PAPERBACK
385,226,553,2,HARDCOVER
386,190,521,1,HARDCOVER
387,274,422,2,PAPERBACK
388,100,326,2,HARDCOVER
389,424,421,1,HARDCOVER
390,71,339,1,HARDCOVER
391,337,483,1,HARDCOVER
392,250,361,1,HARDCOVER
393,416,318,1,HARDCOVER
394,199,516,2,PAPERBACK
395,284,356,1,HARDCOVER
396,128,397,1,PAPERBACK
397,282,413,2,PAPERBACK
398,42,472,1,PAPERBACK
399,339,549,1,PAPERBACK
400,490,363,1,PAPERBACK
401,235,373,1,PAPERBACK
402,73,387,1,HARDCOVER
403,213,454,2,PAPERBACK
404,367,390,1,HARDCOVER
405,454,569,1,HARDCOVER
406,192,318,1,HARDCOVER
407,366,516,1,HARDCOVER
408,442,378,1,HARDCOVER
409,31,326,2,HARDCOVER
410,195,570,1,PAPERBACK
411,281,460,2,HARDCOVER
412,72,449,1,HARDCOVER
413,104,348,1,PAPERBACK
414,394,320,2,HARDCOVER
415,94,379,1,HARDCOVER
416,174,410,3,HARDCOVER
417,38,396,1,HARDCOVER
418,25,423,1,HARDCOVER
419,193,450,1,HARDCOVER
420,377,478,1,PAPERBACK
421,251,519,2,HARDCOVER
422,272,407,1,HARDCOVER
423,281,415,2,HARDCOVER
424,335,340,1,PAPERBACK
425,482,456,2,HARDCOVER
426,330,442,2,HARDCOVER
427,489,365,1,HARDCOVER
428,491,541,1,HARDCOVER
429,320,336,1,HARDCOVER
430,428,354,2,HARDCOVER
431,303,437,1,PAPERBACK
432,444,347,2,PAPERBACK
433,152,323,2,PAPERBACK
434,130,495,2,HARDCOVER
435,278,519,1,HARDCOVER
436,452,358,2,HARDCOVER
437,258,401,1,HARDCOVER
438,242,357,1,PAPERBACK
439,401,550,1,PAPERBACK
440,2,352,2,PAPERBACK
441,154,438,1,HARDCOVER
442,145,357,1,PAPERBACK
443,201,411,1,HARDCOVER
444,154,431,2,PAPERBACK
445,461,338,1,HARDCOVER
446,97,502,3,PAPERBACK
447,77,539,1,PAPERBACK
448,323,464,1,PAPERBACK
449,239,345,2,PAPERBACK
450,448,448,2,PAPERBACK
451,358,405,1,HARDCOVER
452,343,394,2,HARDCOVER
453,221,417,1,HARDCOVER
454,391,373,2,PAPERBACK
455,473,475,1,HARDCOVER
456,480,493,1,PAPERBACK
457,91,570,1,HARDCOVER
458,326,503,1,HARDCOVER
459,79,475,1,PAPERBACK
460,227,552,1,PAPERBACK
461,178,432,1,PAPERBACK
462,254,478,2,PAPERBACK
463,41,329,1,PAPERBACK
464,308,322,1,PAPERBACK
465,66,350,1,PAPERBACK
466,343,562,1,HARDCOVER
467,473,395,2,HARDCOVER
468,307,341,1,HARDCOVER
469,469,506,1,HARDCOVER
470,448,526,1,PAPERBACK
471,154,521,1,HARDCOVER
472,75,570,1,HARDCOVER
473,193,422,1,PAPERBACK
474,263,414,2,PAPERBACK
475,411,385,1,HARDCOVER
476,371,391,2,HARDCOVER
477,216,419,1,PAPERBACK
478,215,529,1,HARDCOVER
479,280,369,1,PAPERBACK
480,119,350,1,HARDCOVER
481,417,533,3,PAPERBACK
482,449,376,2,PAPERBACK
483,103,540,1,HARDCOVER
484,64,401,1,PAPERBACK
485,304,354,2,HARDCOVER
486,259,475,1,PAPERBACK
487,72,485,2,PAPERBACK
488,62,353,1,HARDCOVER
489,71,420,2,HARDCOVER
490,402,447,2,PAPERBACK
491,420,519,2,HARDCOVER
492,396,441,1,PAPERBACK
493,172,367,2,HARDCOVER
494,35,533,1,HARDCOVER
495,286,352,1,PAPERBACK
496,68,346,2,PAPERBACK
497,40,351,2,HARDCOVER
498,452,441,1,HARDCOVER
499,326,550,2,PAPERBACK
500,444,361,1,HARDCOVER
501,228,559,2,PAPERBACK
502,393,443,1,HARDCOVER
503,216,449,3,PAPERBACK
504,345,574,1,HARDCOVER
505,54,487,1,PAPERBACK
506,375,507,1,HARDCOVER
507,219,526,1,HARDCOVER
508,213,570,1,HARDCOVER
509,486,512,1,HARDCOVER
510,98,391,2,PAPERBACK
511,185,521,1,PAPERBACK
512,189,416,1,PAPERBACK
513,261,374,1,PAPERBACK
514,186,551,3,HARDCOVER
515,482,346,1,PAPERBACK
516,363,506,1,HARDCOVER
517,297,546,1,HARDCOVER
518,344,405,2,HARDCOVER
519,421,325,2,PAPERBACK
520,278,477,2,PAPERBACK
521,489,484,2,PAPERBACK
522,277,335,3,HARDCOVER
523,257,460,1,PAPERBACK
524,297,406,2,HARDCOVER
525,263,396,1,PAPERBACK
526,343,376,2,PAPERBACK
527,291,342,1,HARDCOVER
528,328,536,1,PAPERBACK
529,329,469,1,HARDCOVER
530,267,342,1,HARDCOVER
531,477,347,1,PAPERBACK
532,403,540,2,PAPERBACK
533,119,567,1,PAPERBACK
534,26,504,1,HARDCOVER
535,390,552,1,HARDCOVER
536,64,351,2,PAPERBACK
537,415,365,1,HARDCOVER
538,324,385,2,HARDCOVER
539,47,562,2,HARDCOVER
540,446,471,1,HARDCOVER
541,261,417,1,PAPERBACK
542,199,349,2,HARDCOVER
543,429,488,1,HARDCOVER
544,269,412,2,HARDCOVER
545,443,549,1,PAPERBACK
546,296,378,2,HARDCOVER
547,207,469,1,PAPERBACK
548,404,497,2,PAPERBACK
549,35,328,2,PAPERBACK
550,429,358,1,HARDCOVER
551,435,501,1,HARDCOVER
552,216,534,1,PAPERBACK
553,357,453,1,HARDCOVER
554,422,563,2,HARDCOVER
555,468,511,1,HARDCOVER
556,114,540,1,HARDCOVER
557,7,430,1,PAPERBACK
558,224,420,3,PAPERBACK
559,418,566,2,HARDCOVER
560,59,466,2,PAPERBACK
561,109,419,2,PAPERBACK
562,101,483,1,HARDCOVER
563,37,548,1,HARDCOVER
564,118,366,2,HARDCOVER
565,179,435,2,HARDCOVER
566,48,357,2,PAPERBACK
567,10,384,1,HARDCOVER
568,74,525,1,HARDCOVER
569,16,553,1,PAPERBACK
570,481,513,2,HARDCOVER
571,243,477,1,HARDCOVER
572,173,436,1,HARDCOVER
573,244,331,2,HARDCOVER
574,439,343,1,HARDCOVER
575,175,461,2,PAPERBACK
576,137,470,1,PAPERBACK
577,370,439,1,HARDCOVER
578,299,444,2,PAPERBACK
579,394,457,2,PAPERBACK
580,251,548,2,HARDCOVER
581,257,506,1,HARDCOVER
582,320,472,1,HARDCOVER
583,318,328,2,HARDCOVER
584,89,383,2,PAPERBACK
585,220,501,1,HARDCOVER
586,351,448,1,PAPERBACK
587,238,374,1,HARDCOVER
588,290,341,2,HARDCOVER
589,301,334,2,PAPERBACK
590,32,518,1,PAPERBACK
591,98,566,2,HARDCOVER
592,60,559,2,HARDCOVER
593,19,321,2,HARDCOVER
594,458,408,2,HARDCOVER
595,178,478,1,PAPERBACK
596,479,417,1,HARDCOVER
597,424,519,2,HARDCOVER
598,48,557,1,HARDCOVER
599,414,375,2,HARDCOVER
600,286,403,3,HARDCOVER
601,394,325,2,PAPERBACK
602,261,483,2,HARDCOVER
603,284,419,1,PAPERBACK
604,77,560,2,HARDCOVER
605,235,523,1,PAPERBACK
606,156,531,3,PAPERBACK
607,6,449,2,PAPERBACK
608,446,375,1,PAPERBACK
609,375,500,1,PAPERBACK
610,61,512,1,PAPERBACK
611,471,397,1,PAPERBACK
612,453,466,2,PAPERBACK
613,419,535,3,PAPERBACK
614,70,488,1,HARDCOVER
615,256,349,1,HARDCOVER
616,4,479,1,HARDCOVER
617,127,532,1,HARDCOVER
618,359,552,1,HARDCOVER
619,399,317,2,PAPERBACK
620,366,389,2,HARDCOVER
621,48,475,2,PAPERBACK
622,296,565,2,HARDCOVER
623,450,319,2,PAPERBACK
624,437,503,1,PAPERBACK
625,278,539,2,PAPERBACK
626,360,329,1,HARDCOVER
627,254,464,2,PAPERBACK
628,417,514,1,PAPERBACK
629,387,535,1,PAPERBACK
630,294,484,1,PAPERBACK
631,51,490,1,PAPERBACK
632,375,460,2,HARDCOVER
633,330,561,2,HARDCOVER
634,49,436,1,PAPERBACK
635,368,511,3,PAPERBACK
636,299,328,1,PAPERBACK
637,60,335,1,HARDCOVER
638,127,496,1,HARDCOVER
639,434,427,1,HARDCOVER
640,108,418,2,HARDCOVER
641,99,420,2,HARDCOVER
642,158,499,1,HARDCOVER
643,84,378,1,HARDCOVER
644,80,532,2,HARDCOVER
645,479,546,1,HARDCOVER
646,351,556,2,HARDCOVER
647,14,347,2,PAPERBACK
648,156,383,1,PAPERBACK
649,30,430,1,PAPERBACK
650,305,344,1,PAPERBACK
651,109,338,1,HARDCOVER
652,347,360,1,HARDCOVER
653,65,538,2,HARDCOVER
654,110,460,1,HARDCOVER
655,449,505,1,PAPERBACK
656,8,550,1,PAPERBACK
657,198,498,2,PAPERBACK
658,101,410,1,PAPERBACK
659,251,349,1,HARDCOVER
660,318,438,1,HARDCOVER
661,50,319,1,PAPERBACK
662,124,394,1,HARDCOVER
663,53,373,1,PAPERBACK
664,389,370,2,HARDCOVER
665,399,455,1,HARDCOVER
666,466,560,1,HARDCOVER
667,297,506,1,PAPERBACK
668,407,462,1,HARDCOVER
669,207,483,1,HARDCOVER
670,452,485,3,HARDCOVER
671,62,365,1,HARDCOVER
672,222,477,3,PAPERBACK
673,14,382,1,PAPERBACK
674,33,516,1,HARDCOVER
675,185,556,3,HARDCOVER
676,204,390,1,HARDCOVER
677,130,544,1,PAPERBACK
678,361,413,2,HARDCOVER
679,231,504,1,PAPERBACK
680,136,473,1,PAPERBACK
681,36,370,1,PAPERBACK
682,390,497,1,PAPERBACK
683,277,429,2,HARDCOVER
684,481,472,2,PAPERBACK
685,34,427,2,HARDCOVER
686,329,327,1,HARDCOVER
687,323,437,1,HARDCOVER
688,381,474,1,PAPERBACK
689,67,383,2,HARDCOVER
690,156,434,1,HARDCOVER
691,31,489,2,HARDCOVER
692,112,497,1,HARDCOVER
693,473,478,2,PAPERBACK
694,320,338,2,HARDCOVER
695,212,326,1,HARDCOVER
696,351,514,1,PAPERBACK
697,426,470,1,HARDCOVER
698,249,551,1,PAPERBACK
699,169,488,1,PAPERBACK
700,313,535,2,PAPERBACK
701,86,526,2,HARDCOVER
702,100,485,1,PAPERBACK
703,77,539,1,HARDCOVER
704,24,368,1,PAPERBACK
705,309,565,1,PAPERBACK
706,336,370,1,HARDCOVER
707,452,566,2,PAPERBACK
708,194,337,1,PAPERBACK
709,459,343,2,HARDCOVER
710,309,438,1,HARDCOVER
711,478,450,2,PAPERBACK
712,252,424,1,PAPERBACK
713,8,454,2,HARDCOVER
714,76,463,2,PAPERBACK
715,304,408,1,PAPERBACK
716,177,524,1,HARDCOVER
717,45,528,3,HARDCOVER
718,492,451,1,PAPERBACK
719,217,345,1,PAPERBACK
720,344,385,2,PAPERBACK
721,491,389,1,HARDCOVER
722,357,398,2,PAPERBACK
723,403,394,1,HARDCOVER
724,184,437,1,PAPERBACK
725,382,349,1,PAPERBACK
726,37,421,1,HARDCOVER
727,431,456,2,HARDCOVER
728,202,560,2,HARDCOVER
729,455,470,1,PAPERBACK
730,187,559,1,PAPERBACK
731,287,469,1,HARDCOVER
732,274,360,2,PAPERBACK
733,23,558,1,PAPERBACK
734,97,540,2,HARDCOVER
735,441,465,1,PAPERBACK
736,188,366,1,PAPERBACK
737,335,574,1,PAPERBACK
738,498,416,2,HARDCOVER
739,333,574,1,PAPERBACK
740,33,440,2,HARDCOVER
741,295,363,1,HARDCOVER
742,420,318,2,HARDCOVER
743,116,556,1,HARDCOVER
744,268,327,1,PAPERBACK
745,129,329,1,HARDCOVER
746,248,446,1,HARDCOVER
747,414,368,1,HARDCOVER
748,168,472,1,PAPERBACK
749,427,507,1,HARDCOVER
750,129,468,1,HARDCOVER
751,18,432,1,HARDCOVER
752,179,523,1,HARDCOVER
753,205,417,1,PAPERBACK
754,220,475,1,HARDCOVER
755,5,333,2,PAPERBACK
756,266,570,1,PAPERBACK
757,4,410,1,PAPERBACK
758,463,466,1,PAPERBACK
759,94,542,1,PAPERBACK
760,103,378,1,PAPERBACK
761,202,325,2,PAPERBACK
762,479,473,2,HARDCOVER
763,29,552,1,PAPERBACK
764,203,405,2,PAPERBACK
765,20,383,1,PAPERBACK
766,344,344,2,HARDCOVER
767,296,337,1,PAPERBACK
768,347,450,1,PAPERBACK
769,86,487,2,HARDCOVER
770,119,483,1,HARDCOVER
771,204,563,1,PAPERBACK
772,220,332,2,HARDCOVER
773,14,345,1,PAPERBACK
774,249,424,1,PAPERBACK
775,18,404,1,HARDCOVER
776,373,516,2,PAPERBACK
777,459,352,1,HARDCOVER
778,163,550,1,HARDCOVER
779,498,377,1,PAPERBACK
780,363,379,1,HARDCOVER
781,478,420,1,PAPERBACK
782,349,432,2,HARDCOVER
783,150,571,2,HARDCOVER
784,241,324,1,HARDCOVER
785,14,474,1,HARDCOVER
786,323,497,1,HARDCOVER
787,167,542,1,HARDCOVER
788,330,511,1,PAPERBACK
789,97,384,1,HARDCOVER
790,157,484,1,HARDCOVER
791,128,355,1,PAPERBACK
792,294,325,2,HARDCOVER
793,493,403,2,PAPERBACK
794,423,479,1,HARDCOVER
795,212,523,2,PAPERBACK
796,214,464,2,HARDCOVER
797,159,533,1,PAPERBACK
798,112,437,1,HARDCOVER
799,79,565,1,HARDCOVER
800,43,545,1,PAPERBACK
801,126,467,1,HARDCOVER
802,445,474,2,HARDCOVER
803,95,458,1,PAPERBACK
804,163,521,1,HARDCOVER
805,424,379,1,PAPERBACK
806,200,511,1,HARDCOVER
807,482,443,2,PAPERBACK
808,490,468,2,HARDCOVER
809,413,416,1,HARDCOVER
810,190,337,1,PAPERBACK
811,209,575,1,HARDCOVER
812,431,439,1,PAPERBACK
813,477,326,2,HARDCOVER
814,340,536,1,PAPERBACK
815,30,574,2,HARDCOVER
816,68,492,1,HARDCOVER
817,31,499,1,PAPERBACK
818,354,541,2,PAPERBACK
819,56,419,1,HARDCOVER
820,121,335,1,PAPERBACK
821,378,532,1,PAPERBACK
822,489,446,2,HARDCOVER
823,71,398,2,HARDCOVER
824,293,465,2,HARDCOVER
825,441,478,2,HARDCOVER
826,143,486,2,HARDCOVER
827,439,384,1,PAPERBACK
828,120,346,2,PAPERBACK
829,182,423,2,HARDCOVER
830,14,419,1,HARDCOVER
831,424,327,1,PAPERBACK
832,395,429,1,PAPERBACK
833,74,494,1,PAPERBACK
834,382,500,1,HARDCOVER
835,302,468,1,PAPERBACK
836,467,539,1,PAPERBACK
837,311,523,1,PAPERBACK
838,308,393,2,HARDCOVER
839,256,321,1,PAPERBACK
840,272,520,1,HARDCOVER
841,420,342,1,PAPERBACK
842,159,0,1,PAPERBACK
843,415,493,2,HARDCOVER
844,381,474,1,HARDCOVER
845,315,527,1,HARDCOVER
846,157,543,1,HARDCOVER
847,410,528,1,HARDCOVER
848,126,370,2,PAPERBACK
849,170,361,1,HARDCOVER
850,97,490,3,PAPERBACK
851,300,357,1,HARDCOVER
852,46,341,1,HARDCOVER
853,170,382,2,HARDCOVER
854,319,372,2,HARDCOVER
855,492,409,2,HARDCOVER
856,424,555,1,HARDCOVER
857,213,408,2,PAPERBACK
858,224,322,1,PAPERBACK
859,380,480,2,PAPERBACK
860,378,457,1,PAPERBACK
861,34,537,1,HARDCOVER
862,291,541,1,PAPERBACK
863,189,375,1,PAPERBACK
864,18,343,1,HARDCOVER
865,249,350,3,PAPERBACK
866,134,460,1,HARDCOVER
867,56,453,1,PAPERBACK
868,172,556,1,HARDCOVER
869,113,542,2,HARDCOVER
870,418,522,2,PAPERBACK
871,323,475,1,HARDCOVER
872,109,573,2,HARDCOVER
873,210,400,1,PAPERBACK
874,411,572,2,PAPERBACK
