Name,Description,Time
Teen Prompted Journaling,"This program is held in person.  Join staff of the Pelham Bay Library in journaling your thoughts and dreams.  Get an NYPL notebook to record your words in, and sit quietly for an hour to write.  Can't think of a topic?  We'll provide prompts and talk them over.  For teens 12 - 18, no registration required.",2025-03-25 03:11:53.000000
Changing the Color and Pattern of an Object in Photoshop,"Come check out our selection of software from the Adobe Creative Suite available at the Best Buy Teen Tech Center and learn how to change the color and pattern of an object in Adobe Photoshop!

In this course, students will learn how to navigate features in Adobe Photoshop to alter lighting, color, and other elements of photos captured within a product photography tent. 

If students would like to keep their work, they are encouraged to bring a flash drive or external hard drive to class.


  
T…",2025-03-24 17:40:09.000000
Teen Center Open Hours,"This event will take place in the community room of the West New Brighton Library.

During our open hours you can take advantage of our various Teen Center tech and craft resources. You can work on a 3D print for our 3D printer, create a perler bead design, do origami, play board games, play out nintendo switch, work on an arts and craft project, use our Cameo Sihouette cutter or just hang out.

For ages 12-18.",2025-03-24 23:54:15.000000
Lego Free Play,"This event will take place in person at the Dongan Hills Library.

We provide the LEGO, while you provide the imagination and build a creative masterpiece to be kept on display in the library between programs.

Ages 4-12",2025-03-24 21:30:28.000000
NYPL After School,"NYPL After School is a free drop-in program for kids aged 6–12 that takes place after regular school hours on Mondays through Thursdays. Join us homework help from one of our tutors or Teen Reading Ambassadors, reading recommendations, fun writing, STEAM, and enrichment activities—and even snacks! No need to register—just show up! Everything is free.",2025-03-25 03:37:37.000000
Crazy Games at Castle Hill (In Person ),""" This event will take place in person at the Castle Hill Library"" 

Join us on Monday for game time. ALl activities are first come, first served basis. 

Advanced registration is preferred as space is limited. 

Please sign up in person or via phone at 718-824-3838. 

Both the parent/caregiver and the child must be present during entire program: unaccompanied adults or children may be asked to leave the program.",2025-03-24 18:34:46.000000
NYPL After School,"NYPL After School is a free drop-in program for kids aged 6–12 that takes place after regular school hours on Mondays through Thursdays. Join us homework help from one of our tutors or Teen Reading Ambassadors, reading recommendations, fun writing, STEAM, and enrichment activities—and even snacks! No need to register—just show up! Everything is free.",2025-03-24 22:12:21.000000
NYPL After School,"NYPL After School is a free drop-in program for kids aged 6–12 that takes place after regular school hours on Mondays through Thursdays. Join us homework help from one of our tutors or Teen Reading Ambassadors, reading recommendations, fun writing, STEAM, and enrichment activities—and even snacks! No need to register—just show up! Everything is free.",2025-03-25 00:05:40.000000
NYPL After School,"NYPL After School is a free drop-in program for kids aged 6–12 that takes place after regular school hours on Mondays through Thursdays. Join us homework help from one of our tutors or Teen Reading Ambassadors, reading recommendations, fun writing, STEAM, and enrichment activities—and even snacks! No need to register—just show up! Everything is free.",2025-03-24 18:22:16.000000
PLUS ULTRA: Character-Based Gaming & Writing,"Our TTRPG series. We'll be designing our own characters drawing on the world of My Hero Academia, using game mechanics from Dungeons & Dragons and Mutants & Masterminds. Use writing and (optional) art to create a character's abilities, backstories, and play mechanics, drawing on library materials and collections. Create a character and send them on adventures as a student at U.A. Bronx. Get ready to go beyond!",2025-03-24 11:52:49.000000
Earth Day Coloring,This program takes place in-person at the West New Brighton Library. Our Earth Day celebration continues with fun coloring pages and activities. No registration required. For ages 6-12.,2025-03-24 09:46:58.000000
Draw on Jigsaw,"We are going to draw and paint on blank slates of jigsaw puzzles. Come and customize your own to be used for entertainment or as a framed artwork!

No registration required!

Snacks and refreshments will be provided!

For ages 13 - 18",2025-03-24 16:23:53.000000
Crafty Kids Mondays,Show off your creativity using a variety of materials to make something fun!,2025-03-24 22:57:21.000000
Young Adult Creative Writing,"This event will take place in person at 53rd St.

Get ready for some creative writing! Share your writing, bounce ideas off of other writers, and unleash some creative energy! Each week will have a different theme/challenge for aspiring writers to try their hand at. Feel free to share your work at the very end if you'd like!

This program is for young adults, and will take place in the teen zone.",2025-03-24 19:53:52.000000
Lofi Hip Hop Study Hour,"Are you looking to wind down from the stresses of school or study in peace? Come by the Wakefield Teen Center and listen to some chill beats while getting some studying done.


	This project was made possible in part by the Institute of Museum and Library Services.",2025-03-24 19:08:24.000000
Arts & Crafts: Haiku Poetry Art,"This event will take place in person at Macomb's Bridge Library.
	

Love drawing and poetry? Why not try drawing your own scene and creating it's own matching poem? Let's use our curious minds! Join us for fun experiments, crafts and interesting adventures every week.

Registration is not required for this event.",2025-03-25 01:39:47.000000
Teen Art Session,"This event will take place in person at Riverdale Library. 

Join us in person every Monday for a chill session of arts & crafts using acrylics, watercolors, screen prints, & other mediums. We'll be simultaneously listening to and discussing podcasts like ""The Allusionist"" & ""Baby, This is Keke Palmer"" & ""Stuff You Missed in History Class.""

This program is limited to 15 participants. 

Discover what the Library offers NYC teens, including TeenLIVE events, programs, book recommen…",2025-03-25 00:40:18.000000
Open DSLR Camera Studio,"Want to learn more about DSLR cameras?

Check out our selection of DSLR cameras, portrait and product photography equipment, and lighting effects available at the Best Buy Teen Tech Center!

We have a range of Canon DLSR cameras available to try out in our space! Take portraits or  film a short video with our lighting equipment, neutral or green/blue reflective disk backgrounds, or capture still life photography with the product photography tent. 

If students would like to keep their work, they…",2025-03-24 20:34:22.000000
Adult Coloring & Chat Time,"This event will take place in-person. Color with us at the Mariners Harbor Library. Chat about the book you are reading, the shows you are watching, and discuss whatever is on your mind.

Masks are strongly recommended at all NYPL locations.",2025-03-24 19:05:18.000000
What is Moth-Style Storytelling?,"This event is online only.

Whether you've attended a MothSLAM, are a frequently listener of the Moth's Podcast, or have never heard of the Moth, this program is for you! Moth-style storytelling is stand-up storytelling with a few rules:

It must be TRUE - Moth-style stories are nonfiction only.

It must be a STORY - One with a beginning, middle, and end. No monologues. No poems. No speeches. No rants.

It must be YOUR STORY TO TELL - You are the main character. Not your grandma's sister's nextd…",2025-03-24 21:57:14.000000
English Conversation Classes: We Speak NYC (4/24),"This event will take place IN-PERSON at the Ottendorfer Library. NO REGISTRATION NEEDED!

These classes are for Intermediate/Advanced Level English Speakers of Other Languages (ESOL). The program works best for people who speak some English and want to practice.

We Speak NYC is an Emmy Award-winning TV show created to help people practice English. Each story is about everyday situations, like going to the doctor or talking with a child's teacher. The characters speak slowly and clearly. Come to…",2025-03-24 11:32:49.000000
City Island Book Club,"Every month, a new title will be chosen and copies will be available for pickup on a first-come, first-served basis. This program will also include “Meet the Collection” where titles will be presented related to a particular topic. Call us for details on what we're reading next.",2025-03-24 14:56:30.000000
Intermediate Level Conversation Classes - IN PERSON,"This event will take place IN PERSON at the Stavros Niarchos Foundation Library.

Conversation Classes: We Speak NYC

For adult English language learners (age 16 and up)

Practice English by watching We Speak NYC videos and discussing them with adults from around the world!

Mondays, April 3, 24 (No in-person classes April 10, 17). 

NO registration needed! Just come to a conversation class!",2025-03-24 16:34:03.000000
Bring Your Own Book Club,"This event will take place in person. 

Join fellow book-lovers for a bi-weekly discussion of our current reads! Come with the book you’re currently reading; leave with the recommendations of others. This book club will not discuss any particular title; instead, we will be talking about the wide variety of books we all enjoy and are reading in the moment. Registration encouraged. This location is wheelchair accessible.",2025-03-24 19:30:18.000000
‘A Song for the End of the World’: Poets on the Apocalypse,"In the last few years, it has often felt as if the world is ending. This event brings together poets Alison C. Rollins (Library of Small Catastrophes, 2019) and Jacqueline Allen Trimble (How to Survive the Apocalypse, 2022). Both poets have recently written about the end of the world – and what it means to survive it. Their conversation will explore questions of the use of art in the apocalypse, and the joys to be found even in a world that seems to be falling apart.

‘A Song for the End of the…",2025-03-25 02:58:29.000000
2 British poets and 2 New York poets of MadHat Press,"Monday, April 24 at 6pm.  Presented in the first floor Willa Cather Room.

British poets Helen Ivory and Martin Figura will be joined by New York poets, Jeffrey Cyphers Wright and Martine Bellen, to celebrate new releases from MadHat Press

Helen Ivory is a poet and assemblage artist from Norwich, England.  Her fifth Bloodaxe collection  The Anatomical Venus. She edits the webzine Ink Sweat and Tears and teaches creative writing online for the University of East Anglia / National Centre for Writ…",2025-03-24 11:35:50.000000
Advanced Level Conversation Classes - ONLINE,"This event is ONLINE only. You will receive a Zoom link 2 days before the class.

Conversation Classes: We Speak NYC

For adult English language learners (age 16 and up)

Practice English by watching We Speak NYC videos and discussing them with adults from around the world!

Sign up and attend class online.",2025-03-24 22:21:53.000000
*Online: Python Container Datatypes,"This event will take place online via Zoom. Must register with a valid email address.

Python has four built-in collections—data structures that can contain multiple instances of more basic data forms. Explore how you can use sets, tuples, lists and dictionaries to store, analyze, and manipulate data in Python.

You will receive an email 2 hours prior to the start of the class with the link to join the virtual class.",2025-03-24 14:27:04.000000
QUEST: New Dimensions in Indian Dance with Mesma Belsaré,"Photo by Gajen Sunthara


7 Stories Up Presents:

Dancer Mesma Belsaré presents Shilpa Natana (The Dancing Sculptures), inspired by the classical texts, sculptures, and paintings of India. Noted choreographer Maya Kulkarni has developed this novel style of dance. The program includes Q&A with the artist and is for anyone interested in sculpture, architecture, painting, dance, and music. 

This event will take place in-person at Stavros Niarchos Foundation Library (SNFL), 7th Floor Event Spac…",2025-03-24 19:17:20.000000
*Online: Intermediate Excel,"This event will take place online via Zoom. Must register with a valid email address.

Explore more advanced features of Microsoft Excel. Topics include using formulas and functions, data sorting and conditional formatting.

You will receive an email 2 hours prior to the start of the class with the link to join the virtual class.",2025-03-24 18:05:13.000000
ESOL Conversation Tuesdays,"This event will take place in person at the 53rd Street Library. 

Improve your English language proficiency! Drop in at the 53rd Street Library's ESOL ""Conversation Tuesdays,"" an open dialogue where English language learners and fluent English speakers chat on a variety of topics including art, music, current events, leisure activities, and New York City life. Practice your speaking skills and socialize with other English language learners. 

No registration required.",2025-03-25 00:52:42.000000
"Financial, Credit, and Medicare Counseling","The Thomas Yoseloff Business Center provides a range of free one-on-one financial counseling services that aim to assist with financial situations including general money management, budgeting, saving, banking, retirement planning, and more. 

Budget and Credit Coaching Sign up for a remote session with the Financial Coaching Corps (FCC) of the Community Service Society. Learn how to improve your credit, manage your debt, find resources in a financial crisis, and make progress toward your financ…",2025-03-24 17:14:46.000000
"Start, Grow, and PROTECT Your Business with Contracts","*Online or In-Person*

►  Sign up here to attend online

► Sign up here to attend in person - the slots for 1:1 consultations are full (there is a waitlist), but you can still sign up to attend in person and meet the speakers at the event.

 

Are you an entrepreneur looking to learn how to use contracts to grow and protect your business?

Join Start Small Think Big, The New York Public Library's Business Center, and a team of experienced lawyers from Seyfarth Shaw LLP  for a hybrid, virtual/in-…",2025-03-24 17:33:52.000000
Open Lab: Computer Basics,Need help opening an email account? Want to get a handle on Google Suite or download an eBook on your tablet? Bring all of your technology questions for one-on-one assistance to our Open Lab. This takes place every Tuesday morning at 9:30 am. Please ring the doorbell for admittance.,2025-03-24 18:57:34.000000
Be Creative in the Library! --- Belmont,"Join the New York Public Library for an in person session of reading, art and fun!Let’s explore colors and shapes to express ourselves, while building literacy skills and engaging in hands-on activities. All participants will receive a free art kit that they will be able to take home.

¡Únase a the New York Public Library para una sesión de lectura, arte y diversión! Exploramos colores y formas para expresarnos, mientras desarrollamos habilidades de alfabetización temprana y participamos en acti…",2025-03-24 16:43:57.000000
Toddler Storytime (Registration Required),"This event will take place in person at 58th Street Library. If you have a child between walking age and 36 months then this is for you! Join the librarian on the 2nd floor for books, action songs, and dancing. Not only will you and your little ones have a great time together but you will also be building important early literacy skills. In accordance with New York State guidelines and Library protocol, patrons are encouraged but not required to wear a face covering.

*Registration is required o…",2025-03-25 02:15:59.000000
Mental Health First Aid Certification Training,"The NYC Department of Health is offering free Mental Health First Aid (MHFA) training to all New Yorkers.
	 

MHFA is a groundbreaking public education program that teaches the skills needed to identify, understand, and respond to signs of mental health and substance abuse challenges and crises.

Register online at: wchestersqnypl.timetap.com

This training will take place in person at Westchester Square Library.

The course uses role-playing and simulations to demonstrate how to offer initial h…",2025-03-24 21:57:22.000000
Crafty Chat! Knitting and Crocheting for All!,"This is an online event.

We are getting back into the swing of things! This is a virtual fiber art circle where we chat, craft, and create! Join us as we crochet, knit, or sew and share our knowledge and WIPS. AS well as our deep love of YAAAAARRRRN! All the yarn. Nohting but yarn.

We will also do our best to give instruction on your knitting, crocheting, or sewing questions. So make sure to have your supplies and projects with you, and come craft with us!

Dont hesitate to virtually browse al…",2025-03-25 02:30:21.000000
One on One Computer Help,"This event will take place in person at Hamilton Grange Library .   Do you want to improve your computer skills?  Is your Resume up to date? Here is a list of possible one on one computer sessions you can inquire our staff about.


	Basic Mouse & Keyboard
	Microsoft Word
	Email
	Resume
	Other Basic Needs               


Please register at the front desk for available time slots. Each session is one hour.",2025-03-25 00:19:44.000000
In-Person One-on-One Job Support @ BLC,"IN-PERSON ONLY

Meet with an NYPL staff member in-person to jump-start your job search, get resume support, and obtain the right resources to find the job you desire. Each One-on-One Job Support appointment provides unbiased, objective feedback that will be tailored to your job search and individual patron needs. We're prepared to help you make the most of every opportunity.  Each appointment can last up to 50 minutes. 

Our trained NYPL One-on-One Job Support staff can help you:


	Write and fo…",2025-03-25 02:16:14.000000
In-person Career Coaching Services @ BLC,"IN-PERSON ONLY

Meet in-person with our amazing Career Coaches, who can assist you in identifying  career potential, skills, interests, and developing a plan to help you achieve your career goals. Each coaching appointment provides unbiased, objective feedback that will be tailored to your job search and individual patron needs. Each appointment can last up to 50 minutes. 

Our professional career coaches can assist you with:


	Resume critique and feedback
	Career transition or advancement
	Cle…",2025-03-24 16:47:12.000000
Virtual Career Coaching Services @ SNFL,"This event is Virtual Only!   

Meet virtually via Zoom or Phone with our amazing Career Coaches who can assist you in identifying  career potential, skills, interests, and developing a plan to help you achieve your career goals. Each coaching appointment provides unbiased, objective feedback that will be tailored to your job search and individual patron needs. Each appointment can last up to 50 minutes. 

Our professional career coaches can assist you with:


	Resume critique and feedback
	Care…",2025-03-24 17:51:01.000000
In-person One-on-One Job Support @SNFL,"IN-PERSON ONLY

Meet with an NYPL staff member in-person to jump-start your job search, get resume support, and obtain the right resources to find the job you desire. Each One-on-One Job Support appointment provides unbiased, objective feedback that will be tailored to your job search and individual patron needs. We're prepared to help you make the most of every opportunity.  Each appointment can last up to 50 minutes. 

Our trained NYPL One-on-One Job Support staff can help you:


	Write and fo…",2025-03-24 12:12:11.000000
Virtual Career Coaching Services @ BLC,"This event is Virtual Only!   

Meet virtually via Zoom or Phone with our amazing Career Coaches who can assist you in identifying  career potential, skills, interests, and developing a plan to help you achieve your career goals. Each coaching appointment provides unbiased, objective feedback that will be tailored to your job search and individual patron needs. Each appointment can last up to 50 minutes. 

Our professional career coaches can assist you with:


	Resume critique and feedback
	Care…",2025-03-24 22:42:53.000000
In-person Career Coaching Services @ SNFL,"IN-PERSON ONLY

Meet in-person with our amazing Career Coaches, who can assist you in identifying  career potential, skills, interests, and developing a plan to help you achieve your career goals. Each coaching appointment provides unbiased, objective feedback that will be tailored to your job search and individual patron needs. Each appointment can last up to 50 minutes. 

Our professional career coaches can assist you with:


	Resume critique and feedback
	Career transition or advancement
	Cle…",2025-03-25 03:14:41.000000
Decorate Your Own Birdhouse!,Learn about birds in the Bronx and decorate your own birdhouse to take home!,2025-03-24 22:31:31.000000
(Tremont) Self-Assisted Tax Preparation with Food Bank,"Event Details

This in-person program will be held at Tremont Libray . Monday, Tuesday, Wednesday and Friday 10-1

Walk-ups will be permitted as space allows.

Food Bank's free self-assisted tax preparation program is an IRS-certified and supervised program offering tax services. Computers are available and Food Bank’s IRS-certified coaches can guide you through the self-filing process and answer any questions you may have. 

Please review Food Banks's tax prep requirements here to see if you qu…",2025-03-24 16:58:13.000000
Family Storytime,"Join us for songs, rhymes, and favorite read-aloud books in this storytime that’s fun for the whole family. For young children of all ages. Ideal for caregivers with multiple-aged children.",2025-03-25 00:33:39.000000
Mandarin Bilingual Storytime with Chatham Square 中英故事時間,"歡迎參加本館的中英故事時間！本館將會使用普通話和英語來講故事，唱活潑的歌曲和童謠。歡迎嬰兒到五歲的孩子以及看護者來參加。請記住，看護者與孩子在一起時，故事時間是最有效的。 無需註冊！Come join us for a Mandarin/English Bilingual Storytime filled with songs, stories, and purposeful play! Recommended for kids from birth to 5 years old with their caregivers. Remember storytime is most effective when caregivers are present with their child. No registration required!…",2025-03-24 22:35:13.000000
Baby Storytime,"Join us for a special time to bond with your baby and meet other caregivers. We will introduce our babies to the joys of movement, books, and song, and begin to build their early learning skills. Come prepared to sit with your baby on your lap. If your child is 18 months or older, please join us for Toddler Storytime on Wednesday.",2025-03-24 15:17:25.000000
Family Storytime,"Join us on Tuesday's to hear stories, sing songs, and get those wiggles out as you help your active toddler build important early learning skills. Discover ways to promote early literacy at home and meet other caregivers in the neighborhood.

Best for new walkers, toddlers/or children at this developmental stage, and their caregivers.

Registration available online, not required. 

All children welcome!",2025-03-25 00:57:27.000000
Little Movers Storytime,"This event will take place in person at Hudson Park Library. 

Join us to hear stories, sing songs, and get those wiggles out as you help your active child build important early learning skills. Discover ways to promote early literacy at home and meet other caregivers in the neighborhood. Best for new walkers, toddlers/or children at this developmental stage. 

Limited to 15 children.

Tickets will be given out at 10 am on the day of the program.",2025-03-25 00:11:07.000000
Mandarin Bilingual Storytime with Chatham Square 中英故事時間,"歡迎參加本館的中英故事時間！本館將會使用普通話和英語來講故事，唱活潑的歌曲和童謠。歡迎嬰兒到五歲的孩子以及看護者來參加。請記住，看護者與孩子在一起時，故事時間是最有效的。 無需註冊！Come join us for a Mandarin/English Bilingual Storytime filled with songs, stories, and purposeful play! Recommended for kids from birth to 5 years old with their caregivers. Remember storytime is most effective when caregivers are present with their child. No registration required!…",2025-03-24 16:38:54.000000
Lapsit Storytime: Baby Storytime,"Join us for a special time to bond with your little one and meet other caregivers. We will explore the joys of movement, books, and songs, in addition to building early learning skills you can practice at home. Come prepared to sit with your child on your lap. Best for children who are pre-walkers or crawlers. 

Storytime will take place in the Community Room on LL2",2025-03-24 18:59:25.000000
Early Literacy: Bitty Book Buddies Storytime,"Bitty Book Buddies is finally back! 

We hope you  can join us on Tuesdays @ 10:30am for this fun interactive program for babies and toddlers  ages 0-36 months featuring stories, songs, puppets...and more! 

 

This program will now take place in our 3rd floor community room.                                                                                                                      Due to space limitations, participation will be limited to 25 children (plus caregivers).…",2025-03-24 17:34:53.000000
Lapsit Storytime - Baby and Me,"Join us for a special time to bond with your little one and meet other caregivers. We will explore the joys of movement, simple stories, and songs, in addition to building early learning skills you can practice at home. Come prepared to sit with your child on your lap. For children who are pre-walkers or crawlers.

Recommended for babies ages 3 months - 18 months

This event will take place in the children's room. The program is limited to the first 20 babies and their caregivers.",2025-03-24 21:14:10.000000
Home Schoolers Meet Up: Children's Storytime,"Join us in this in-person event.  Meet other parents who want to raise their children with love and education at home. For hundreds of content students who are homeschooling, we are their home away from home.",2025-03-24 20:09:52.000000
Tech Connect: Learn to Type and Use a Mouse,"This event will take place in person at Wakefield 

Learn how to hold, click, and move the mouse and practice your typing/keyboarding skills.

Please Note: MUST HAVE BASIC COMPUTER KNOWLEDGE.

Registration required",2025-03-24 21:28:13.000000
Little Movers Storytime!,"This event will take place in person at the Hamilton Grange Library. Join us to hear stories, sing songs, and get those wiggles out as you  help your active child build important early learning skills. Discover ways to promote early literacy at home and meet other caregivers in the neighborhood. Best for new walkers, toddlers/or children at this developmental stage. 



	*Please note: To maintain social distance there is a limit of 10 children with their parents/caregivers for this event. Ticket…",2025-03-24 16:38:11.000000
Open Play,"Join us for a library playdate and meet other caregivers as we explore developmentally appropriate play materials in a safe, warm, and joyful environment. Extend your child's learning through play!",2025-03-25 03:04:03.000000
NYPL Green: Crafternoon:  Upcycled Spring Themed Art,"Tuesday 11am

NYPL Green: Crafternoon:  Upcycled Spring Themed Art

Each Crafternoon is limited., Age 18 and over. No special skills required. All materials provided.

 Space is Limited. Register at the circulation desk or by phone.",2025-03-24 14:39:41.000000
Little Movers Storytime,"This event will take place in person at Hudson Park Library. 

Join us to hear stories, sing songs, and get those wiggles out as you help your active child build important early learning skills. Discover ways to promote early literacy at home and meet other caregivers in the neighborhood. Best for new walkers, toddlers/or children at this developmental stage. 

Limited to 15 children.

Tickets will be given out at 10 am on the day of the program.",2025-03-24 21:20:16.000000
Little Movers Storytime!,"This event will take place in person at the Hamilton Grange Library. Join us to hear stories, sing songs, and get those wiggles out as you  help your active child build important early learning skills. Discover ways to promote early literacy at home and meet other caregivers in the neighborhood. Best for new walkers, toddlers/or children at this developmental stage. 



	*Please note: To maintain social distance there is a limit of 10 children with their parents/caregivers for this event. Ticket…",2025-03-25 02:55:20.000000
Volunteer with GrowNYC,"This program is in person.



 

With the summer months on the horizon one of the best ways to beat the heat, make new friends and have new experiences in volunteering! 

GrowNYC has opportunities for individuals to dig in and improve New York City's environment block by block and community by community. 

Come in Tuesday, April 25th between 11am and 1 pm to learn about volunteer opportunities at GrowNYC!",2025-03-24 15:45:42.000000
Live Virtual Toddler Storytime,"This event is online only. Children 18-36 months old and their caregivers can join us for songs, early literacy activities, and books! Any child under 5 also welcome!

 

Missed out on family storytimes over the last year? Ready to move and sing and read books together? Catch up with Hal and Allison as we sing songs, read picture books, and move around together--virtually! This program will be held over Google Meets. After registering, you will receive the link to the program 24 hours before the…",2025-03-24 16:28:48.000000
Tech Connect: Microsoft Word 2010 for Beginners,"Learn the basic features of Microsoft Word 2019, a word processing program you can use to create documents. Topics include: entering and editing text, saving files, and various formatting options.",2025-03-24 20:10:12.000000
Bilingual Storytime,"This program will take place in person at Macomb's Bridge Library.



Join us for Bilingual Storytime! We will share books, sing songs, and learn some different words and phrases.

For new walkers and toddlers.

Registration is not required for this event.",2025-03-24 13:37:26.000000
Family Storytime @ City Island,"This event will take place in person at the City Island Library. Join us for live, program with songs, rhymes, and favorite read-aloud books as we show you that storytime is fun for the whole family. Ideal for caregivers with multiple-aged children. First Come, First Served.  A limit of 15 children and caregivers per session. 

Storytime is a program for parents/caregivers and their children. Both the parent/caregiver and the child must be present during the entire program: unaccompanied adults…",2025-03-24 23:55:48.000000
Little Movers Storytime,"Join us to hear stories, sing songs, and
	get those wiggles out as you help your
	active child build important early
	learning skills. Discover ways to
	promote early literacy at home and
	meet other caregivers in the
	neighborhood. Best for new walkers,
	toddlers/or children at this
	developmental stage.",2025-03-24 17:37:36.000000
Meet with a Social Work Intern || 與社會工作實習生會面,"Did you know?

There is a social work student intern at this branch to help you find assistance with housing, employment, food security, healthcare, short-term shelter, childcare and more.

During the listed hours you can drop-in to meet with the student intern one-on-one (first come, first served). You can also call the branch (212-666-9393) to make an appointment. 

_______________________________________

地點 哈里·貝拉方特第 115 街圖書館 輪椅可通行 活動詳情 有一名社會工作實習生可以幫助您在住房、就業、食品獲取、醫療保健、短期住所、兒童保育等方面尋求幫助。 在所列時間，…",2025-03-25 00:57:07.000000
Family Storytime,"Please join us for our family storytime in the library every Tuesday and Thursday. We’ll read stories, sing songs, and move to some of our favorite tunes!",2025-03-24 16:21:24.000000
Family Storytime,"Join us for an all-ages storytime. Families are welcome to come together and enjoy stories, rhymes, and free play with the library’s toys! Families welcome.",2025-03-25 01:09:11.000000
WNYC Book Club: “Commitment” by Mona Simpson at Bronx Library Center,"Reading keeps us connected. Join us for a neighborhood book club!

The New York Public Library continues partnering with WNYC to present a book club experience! Each month, we will read a new title leading up to a live conversation, in-person or online, with the author and Alison Stewart, host of WNYC's All of It. 

This book club will take place IN PERSON OR ONLINE  at Bronx Library Center.


	


The April title is Commitment by Mona Simpson, a masterful and engrossing novel about a single moth…",2025-03-24 20:52:32.000000
Tech Connect: Learn to Type and Use a Mouse,"This event will take place in person at Wakefield 

Learn how to hold, click, and move the mouse and practice your typing/keyboarding skills.

Please Note: MUST HAVE BASIC COMPUTER KNOWLEDGE.

Registration required",2025-03-24 22:05:49.000000
Mahjong Instruction for Beginners,"Are you looking to learn how to play MahJong?

Look no further than the Todt Hill – Westerleigh Branch Library!

This program is an opportunity for beginners to learn the game from a volunteer instructor!

This location is wheelchair accessible. Assisted listening devices can be provided upon request with a minimum of one week advanced notice. ASL interpretation can be provided upon request with a minimum of two weeks advanced notice. Event is for adults 18+ only.",2025-03-25 03:17:50.000000
The Writers Spot (In Person),"This event will take place in person at the Riverdale Library. Writers of all levels, genres and styles are welcome to come and write. Prompts will be given to inspire ideas. Please join us for an informal and relaxed writing experience.",2025-03-24 18:19:56.000000
*Online: Protecting Your Privacy & Security,"This event will take place online via Zoom. Must register with a valid email address.

This course will cover how important it is to be safe when providing your information on the internet as well as ensuring your computer is safe from those that want to hack it.

You will receive an email 2 hours prior to the start of the class with the link to join the virtual class.",2025-03-24 18:39:19.000000
Open Play: Toddler Toys,"This event will take place in person at South Beach Library.

Join us for a library playdate and meet other caregivers as we explore developmentally appropriate play materials in a safe, warm, and joyful environment. Extend your child’s learning through play!",2025-03-24 22:21:02.000000
TechConnect: Open Computer Lab,"This event will take place in person at the Wakefield Library.
	
	Do you need some practice time on the computer? 
	
	Then Open Computer Lab is free computer time for you to hone your computer skills! 
	
	And Open Computer Hour will NOT count against your daily computer appointment.
	
	NB - Due to social distancing, this program is limited to three participants on a first-come, first-serve basis.",2025-03-24 17:09:01.000000
